Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,AME,AMGN,APH,ADI,ANSS,AON,APA,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,AXON,BKR,BALL,BAC,BK,BBWI,BAX,BDX,BRK-B,BBY,BIO,TECH,BIIB,BLK,BX,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BRO,BF-B,BLDR,BG,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,COR,CNC,CNP,CF,CHRW,CRL,SCHW,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,COP,ED,STZ,CEG,COO,CPRT,GLW,CPAY,CTVA,CSGP,COST,CTRA,CCI,CSX,CMI,CVS,DHR,DRI,DVA,DAY,DECK,DE,DAL,DVN,DXCM,FANG,DLR,DFS,DG,DLTR,D,DPZ,DOV,DOW,DHI,DTE,DUK,DD,EMN,ETN,EBAY,ECL,EIX,EW,EA,ELV,LLY,EMR,ENPH,ETR,EOG,EPAM,EQT,EFX,EQIX,EQR,ESS,EL,ETSY,EG,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FDS,FICO,FAST,FRT,FDX,FIS,FITB,FSLR,FE,FI,FMC,F,FTNT,FTV,FOXA,FOX,BEN,FCX,GRMN,IT,GE,GEHC,GEV,GEN,GNRC,GD,GIS,GM,GPC,GILD,GPN,GL,GS,HAL,HIG,HAS,HCA,DOC,HSIC,HSY,HES,HPE,HLT,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUBB,HUM,HBAN,HII,IBM,IEX,IDXX,ITW,ILMN,INCY,IR,PODD,INTC,ICE,IFF,IP,IPG,INTU,ISRG,IVZ,INVH,IQV,IRM,JBHT,JBL,JKHY,J,JNJ,JCI,JPM,JNPR,K,KVUE,KDP,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LHX,LH,LRCX,LW,LVS,LDOS,LEN,LIN,LYV,LKQ,LMT,L,LOW,LULU,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MTCH,MKC,MCD,MCK,MDT,MRK,META,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MRNA,MHK,MOH,TAP,MDLZ,MPWR,MNST,MCO,MS,MOS,MSI,MSCI,NDAQ,NTAP,NFLX,NEM,NWSA,NWS,NEE,NKE,NI,NDSN,NSC,NTRS,NOC,NCLH,NRG,NUE,NVDA,NVR,NXPI,ORLY,OXY,ODFL,OMC,ON,OKE,ORCL,OTIS,PCAR,PKG,PANW,PARA,PH,PAYX,PAYC,PYPL,PNR,PEP,PFE,PCG,PM,PSX,PNW,PXD,PNC,POOL,PPG,PPL,PFG,PG,PGR,PLD,PRU,PEG,PTC,PSA,PHM,QRVO,PWR,QCOM,DGX,RL,RJF,RTX,O,REG,REGN,RF,RSG,RMD,RVTY,RHI,ROK,ROL,ROP,ROST,RCL,SPGI,CRM,SBAC,SLB,STX,SRE,NOW,SHW,SPG,SWKS,SJM,SNA,SOLV,SO,LUV,SWK,SBUX,STT,STLD,STE,SYK,SMCI,SYF,SNPS,SYY,TMUS,TROW,TTWO,TPR,TRGP,TGT,TEL,TDY,TFX,TER,TSLA,TXN,TXT,TMO,TJX,TSCO,TT,TDG,TRV,TRMB,TFC,TYL,TSN,USB,UBER,UDR,ULTA,UNP,UAL,UPS,URI,UNH,UHS,VLO,VTR,VLTO,VRSN,VRSK,VZ,VRTX,VTRS,VICI,V,VMC,WRB,WAB,WBA,WMT,DIS,WBD,WM,WAT,WEC,WFC,WELL,WST,WDC,WRK,WY,WMB,WTW,GWW,WYNN,XEL,XYL,YUM,ZBRA,ZBH,ZTS
2023-07-08,5,0,5,3,5,3,5,0,0,1,3,5,0,0,1,1,0,0,4,5,5,3,5,0,0,5,5,5,5,4,5,0,0,1,0,1,0,2,0,5,4,0,0,3,3,5,5,5,0,1,5,5,0,0,0,3,2,5,4,5,5,0,5,5,0,0,2,5,5,5,4,1,4,4,5,2,0,5,0,0,0,0,5,0,4,5,3,0,5,5,0,5,0,5,0,1,0,0,0,0,1,1,1,1,2,5,0,5,0,0,5,5,5,5,5,5,5,5,5,0,5,5,1,4,3,3,5,0,0,5,0,1,2,5,0,1,2,5,3,1,0,0,0,1,5,5,3,2,0,2,5,5,5,4,5,0,4,4,2,5,3,0,5,5,3,0,1,3,0,5,1,2,0,1,0,2,1,1,3,0,3,5,4,1,1,3,0,0,5,5,0,3,1,0,3,2,0,3,5,4,4,0,5,1,0,5,5,2,0,5,2,2,2,0,5,4,5,5,5,1,4,5,5,5,5,5,4,1,0,0,4,1,0,5,1,5,5,1,5,1,5,0,1,2,0,2,0,1,0,0,0,0,0,5,4,5,4,0,1,0,3,0,0,5,0,0,5,5,5,0,5,2,0,1,4,0,0,3,0,4,4,5,5,2,0,2,0,3,1,0,0,1,0,5,0,5,3,0,5,2,3,0,5,2,0,0,3,5,5,5,0,0,5,5,5,0,5,3,5,5,0,1,1,0,2,4,0,4,1,5,5,0,4,4,0,5,2,5,5,5,5,0,1,5,5,5,1,0,1,5,2,1,5,3,5,0,4,0,4,0,2,0,3,5,1,0,0,5,0,5,5,5,1,5,1,1,5,5,0,0,2,5,5,1,3,1,3,5,0,0,0,5,0,5,5,3,2,0,1,1,5,0,0,4,1,1,0,2,5,5,5,0,0,3,1,1,3,1,1,1,5,0,5,5,5,5,5,1,0,2,1,0,1,0,5,1,5,0,0,5,0,1,0,0,5,4,2,5,0,4,0,0,5,0,4,3,5,5,5,0,4,2,2,5,5,2,5,1,5,0,0,0,5,1,0,0,4,1,5,1,3,5,5,5,5,4,1,5,0,3,4,0,2,5,1,0,5,5,1,2,1,1,0
2023-07-09,5,0,4,5,5,5,4,2,2,2,5,5,1,4,1,5,0,1,5,5,5,5,5,2,2,5,5,5,5,5,5,4,0,5,0,4,1,3,1,5,5,0,2,5,3,5,5,5,1,5,5,0,2,0,2,5,5,5,5,5,4,1,5,5,1,2,5,5,5,5,3,1,5,5,5,3,2,5,2,1,0,3,5,1,4,5,5,3,5,5,0,5,3,5,3,2,1,2,0,4,2,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,5,0,2,5,1,3,5,5,2,3,5,5,5,1,4,2,0,0,5,5,5,0,0,4,5,5,5,5,5,0,5,5,2,5,4,1,5,5,2,0,2,5,3,5,4,2,5,2,2,4,3,1,5,0,5,5,4,0,2,5,2,0,5,5,0,4,1,2,3,5,1,5,5,5,5,5,5,5,0,5,5,5,2,5,5,5,5,2,5,1,4,5,5,1,5,5,5,5,2,5,5,5,0,0,5,3,5,5,2,5,5,5,5,1,5,0,2,3,0,5,2,1,0,2,0,1,0,5,5,5,5,1,4,2,5,0,3,5,4,0,5,5,5,2,5,5,0,4,5,2,1,4,0,3,5,5,5,5,1,5,0,5,4,3,1,5,0,5,1,5,0,1,4,4,4,0,5,2,1,1,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0,3,0,2,5,5,1,5,5,5,5,2,5,5,1,5,3,5,5,5,5,0,0,5,5,5,2,1,5,5,1,2,5,3,5,5,5,1,5,0,1,0,5,5,1,0,5,5,1,5,5,5,0,5,4,4,5,5,1,2,5,5,5,4,5,5,4,5,0,1,0,5,5,5,5,5,2,1,2,5,5,0,0,5,5,4,0,5,5,5,5,1,1,5,2,5,5,2,0,3,5,0,5,5,5,5,5,0,0,5,0,4,2,5,5,5,5,1,1,5,1,2,0,0,5,5,5,5,1,5,1,0,5,0,5,4,5,5,5,0,5,3,1,5,5,5,5,2,5,0,0,1,5,5,0,5,5,1,5,5,5,5,5,5,5,5,1,5,2,5,5,0,2,5,1,1,5,5,0,5,1,3,5
2023-07-10,5,2,5,5,5,5,4,5,3,5,5,5,2,5,0,5,1,5,5,5,5,5,5,2,0,5,5,5,5,5,5,5,0,5,0,5,2,5,4,5,5,0,2,4,5,5,5,5,2,5,5,1,2,2,2,3,4,5,5,5,4,3,5,5,4,4,5,5,5,5,5,1,5,5,5,5,2,5,3,1,1,5,4,1,5,5,5,4,5,5,0,5,5,4,5,2,1,3,5,5,4,2,5,5,5,4,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,2,2,5,5,0,2,5,1,2,5,5,2,3,5,5,5,0,5,4,0,0,5,5,4,2,1,4,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,0,1,5,5,5,5,3,5,0,3,5,5,1,5,0,5,5,4,0,1,2,5,0,5,5,0,3,3,4,5,5,1,5,5,5,5,5,5,5,0,5,5,5,3,5,5,5,5,5,5,3,4,5,5,1,5,5,5,5,5,5,5,5,0,2,5,4,5,5,3,5,5,5,5,0,5,0,2,4,0,5,3,0,1,5,0,3,2,5,5,5,5,2,5,5,5,2,5,5,5,0,5,5,5,5,5,5,0,3,5,3,3,3,0,1,5,5,5,5,4,5,1,5,5,5,3,5,1,5,0,5,4,1,5,4,2,1,5,5,2,1,5,5,5,5,3,5,5,5,5,4,5,5,5,5,0,5,0,4,5,3,1,4,5,5,5,5,5,5,3,5,2,5,5,5,4,1,0,5,5,5,5,1,5,5,1,5,5,5,5,5,5,3,5,0,2,0,5,5,2,0,5,5,1,5,5,5,1,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,1,5,5,5,1,0,5,5,5,0,5,5,5,5,1,3,4,3,5,5,5,0,5,5,0,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,2,1,5,4,4,0,3,5,4,5,5,4,5,5,0,5,1,5,5,5,5,5,0,5,3,5,4,5,5,5,1,5,0,1,1,5,5,2,5,5,2,5,5,5,5,5,5,5,5,2,5,2,5,5,1,2,5,5,1,5,5,1,5,3,5,5
2023-07-11,5,2,5,5,5,5,5,5,5,4,5,5,5,5,1,5,1,5,5,5,5,2,5,0,3,5,5,5,5,5,5,4,1,5,1,5,1,5,2,5,5,1,3,5,5,5,5,5,1,5,4,3,1,4,3,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,1,5,5,5,5,3,4,4,0,1,5,5,0,5,5,5,1,5,5,2,5,5,5,5,4,0,3,5,2,3,2,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,2,3,5,0,0,5,0,5,5,5,2,4,5,5,5,2,4,2,1,4,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,4,5,5,5,3,2,5,5,5,5,3,5,1,2,2,3,5,5,1,5,5,4,3,0,3,5,0,5,5,0,5,2,4,5,5,4,5,5,5,5,4,5,2,0,5,5,5,3,5,5,5,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,0,2,5,3,5,5,1,5,5,5,5,1,5,1,0,5,2,5,1,1,2,5,4,5,2,5,5,5,5,4,5,5,5,1,5,5,5,1,5,5,4,5,5,5,0,3,4,1,2,3,1,2,3,5,5,5,4,5,1,5,5,3,4,5,2,5,0,5,5,2,5,5,4,1,5,5,1,0,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,0,2,5,4,0,5,5,5,5,4,5,5,2,5,1,5,5,5,5,2,0,5,5,5,4,0,2,5,2,5,5,5,5,5,5,4,5,1,4,2,5,5,2,0,1,5,0,5,5,5,4,5,3,5,5,5,5,2,5,5,5,5,5,5,3,5,1,0,1,5,5,5,5,5,5,0,5,5,5,1,0,5,5,4,1,5,4,5,5,1,5,5,4,5,5,5,0,5,5,0,5,5,5,5,5,5,0,5,3,5,5,5,5,5,5,2,1,5,4,4,0,5,5,4,5,5,4,5,4,0,5,2,5,5,5,5,5,0,5,2,5,5,5,5,5,1,5,0,1,1,5,5,3,4,5,5,5,3,5,5,5,5,5,5,3,5,1,5,5,1,5,5,5,0,5,5,1,5,5,3,2
2023-07-12,5,0,5,5,5,5,5,4,5,3,5,5,5,5,3,5,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,2,5,1,5,3,5,2,5,5,2,5,5,5,5,5,5,1,5,5,3,4,3,3,2,5,5,5,5,5,5,5,5,3,0,5,5,5,5,5,1,5,5,5,5,3,5,3,3,1,5,5,0,5,5,5,2,5,5,2,4,5,5,3,4,0,4,5,4,1,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,1,1,5,1,5,5,5,2,5,5,5,5,4,5,1,1,4,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,5,5,5,5,1,5,2,2,3,2,5,5,1,5,5,2,5,3,5,5,0,4,5,0,5,2,5,5,5,5,5,5,5,5,1,5,5,0,5,5,5,2,5,5,5,5,1,5,4,5,5,5,3,5,5,5,5,5,5,5,5,0,1,5,1,5,5,1,5,5,5,5,1,5,1,0,5,2,5,0,1,1,5,5,5,1,5,5,5,5,4,5,5,5,1,5,5,5,1,5,5,5,5,5,5,0,5,5,0,1,5,1,5,1,5,5,5,3,5,0,5,5,5,3,5,1,5,1,5,5,1,5,4,2,0,5,5,1,0,5,5,4,5,4,5,5,5,5,3,5,5,5,5,3,5,0,1,5,4,2,5,5,5,5,4,5,5,3,5,4,5,5,5,5,3,0,5,5,5,4,1,3,5,3,5,5,5,5,5,5,2,5,1,2,4,5,5,3,0,1,5,0,5,5,5,2,5,4,5,5,5,4,1,5,5,5,5,5,5,2,5,2,0,1,4,5,5,5,5,5,1,5,5,4,3,1,5,5,5,2,5,5,5,5,1,3,5,4,5,5,5,1,1,5,0,5,5,5,5,5,5,1,5,5,5,2,5,5,5,5,4,1,5,2,1,0,4,5,5,5,5,3,5,0,0,5,2,5,5,5,5,5,0,5,5,5,5,5,5,5,3,5,0,0,3,5,5,3,4,5,2,5,5,5,5,5,5,5,5,1,5,1,5,5,0,5,5,5,2,5,5,0,4,5,0,1
2023-07-13,5,2,5,5,5,5,5,4,2,0,5,5,5,5,2,5,0,5,5,5,5,4,5,5,5,5,5,5,5,5,5,0,0,5,0,5,5,5,1,5,5,2,3,5,5,5,0,5,3,5,5,5,4,3,0,5,5,5,5,5,3,5,5,5,4,0,5,5,5,4,5,0,5,5,5,5,1,5,3,5,1,5,5,0,5,5,5,3,5,5,2,5,5,5,0,4,0,3,5,5,2,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,2,5,2,5,5,5,0,5,5,5,5,1,3,2,0,0,5,5,5,4,1,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,4,3,1,5,5,5,4,0,5,4,5,5,2,5,5,0,5,5,2,5,4,5,5,1,5,5,1,5,2,5,3,5,5,5,4,5,2,1,5,5,0,5,5,5,5,5,5,5,5,1,5,1,5,5,5,4,5,5,5,5,5,5,5,5,1,4,5,2,5,5,1,5,4,5,5,2,5,0,2,5,2,5,1,1,0,5,1,4,1,5,5,5,5,1,5,5,5,4,5,5,5,0,5,5,5,5,5,5,0,3,5,0,2,5,1,5,1,5,5,5,2,5,1,5,5,5,3,5,1,5,1,5,5,0,5,5,5,0,5,5,0,0,5,5,5,5,4,5,5,5,5,2,5,5,5,5,3,5,0,1,5,5,2,5,4,5,5,5,4,5,3,5,4,5,5,5,5,2,0,5,5,5,5,3,2,5,4,5,5,5,5,5,5,3,5,0,1,3,5,5,3,0,1,5,0,5,5,5,1,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,2,0,2,5,5,5,5,3,5,4,5,5,5,5,1,5,5,5,1,5,5,5,5,0,5,5,1,5,5,5,1,2,5,0,5,5,5,5,5,3,1,5,4,5,3,5,5,5,5,4,0,5,3,3,0,2,5,5,5,5,3,5,2,1,5,3,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,0,2,5,5,4,4,5,2,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,5,5,3,5,5,1,5,1,3,0
2023-07-14,5,4,5,5,5,5,5,1,0,0,5,5,2,5,0,5,0,3,5,5,5,3,5,1,5,5,5,5,5,5,5,1,0,5,0,5,3,5,1,5,5,1,0,3,4,5,0,5,2,4,5,5,1,3,0,3,5,5,4,5,1,3,5,5,3,0,5,5,5,5,5,0,5,5,5,5,1,5,1,2,0,5,5,0,5,5,5,2,5,5,2,5,3,5,1,4,0,1,5,4,2,2,5,5,5,5,1,5,5,5,5,5,5,5,0,2,5,5,5,5,5,5,5,5,5,3,3,0,2,5,1,4,5,5,0,5,5,5,5,0,0,1,0,0,5,5,5,3,0,5,5,5,5,5,5,0,5,4,5,5,5,2,5,5,1,2,0,5,5,5,1,0,4,3,4,4,2,4,5,0,3,5,1,5,3,2,5,1,5,5,2,4,0,1,2,5,2,4,5,5,2,1,5,3,0,5,5,5,4,5,5,5,5,1,5,1,5,5,5,2,5,5,5,5,2,5,5,5,1,3,5,3,2,5,0,5,5,4,5,2,5,0,2,5,2,5,1,2,0,4,0,4,0,5,5,5,5,0,5,4,5,4,5,5,1,0,5,5,5,5,5,5,0,1,5,0,3,5,1,4,5,5,5,2,0,4,1,5,3,5,2,5,1,5,0,5,3,0,5,5,5,0,5,1,0,0,5,5,5,5,3,5,5,5,4,2,5,5,4,5,1,1,0,1,4,5,0,5,1,5,5,5,4,5,2,5,1,5,5,3,5,0,0,5,5,5,3,2,2,4,2,4,5,5,5,4,5,2,5,0,1,2,5,5,1,0,2,5,0,5,5,5,2,5,5,3,5,5,1,1,5,5,5,4,5,5,5,5,0,0,1,5,2,4,5,3,5,3,1,3,5,1,0,4,5,4,0,5,4,5,5,0,4,3,1,5,5,5,1,2,5,0,5,5,5,5,5,2,0,5,3,3,2,1,5,5,5,1,0,5,2,3,0,1,5,3,5,5,1,5,2,1,5,4,5,5,5,5,5,0,5,1,5,5,5,5,5,4,5,0,0,0,5,5,2,3,4,3,5,5,5,5,5,5,5,5,0,5,3,2,2,1,5,5,4,1,5,5,1,5,2,3,1
2023-07-15,5,3,5,1,2,5,4,1,0,0,3,5,0,4,0,1,0,1,3,5,5,2,5,0,4,5,5,5,5,2,5,1,0,0,0,3,1,5,1,5,5,0,0,1,0,5,0,5,0,0,5,1,0,1,0,2,1,5,2,5,2,1,5,5,1,0,1,5,5,5,0,1,4,4,2,3,1,5,0,0,0,3,5,1,2,5,3,2,5,5,0,5,0,5,1,1,0,0,1,1,0,0,3,0,1,1,0,5,2,5,5,5,2,5,1,0,5,5,5,2,5,3,2,3,1,3,2,0,2,4,0,0,2,5,0,5,1,5,5,0,2,0,0,1,5,5,4,1,0,0,5,5,5,4,5,0,5,3,0,5,5,0,5,5,0,1,0,3,0,2,1,0,2,0,0,0,1,1,4,0,1,5,0,5,2,0,4,0,5,5,1,2,1,0,3,5,0,4,5,3,4,1,5,3,0,5,5,1,0,3,5,4,5,0,5,0,5,5,5,1,0,5,5,5,5,5,5,3,0,0,5,1,2,5,0,4,5,0,5,0,5,0,1,1,1,3,0,1,0,0,0,1,0,5,5,5,4,0,2,0,5,2,0,4,1,0,5,5,5,2,5,0,0,1,2,0,0,4,0,0,5,2,5,1,0,1,0,2,0,3,0,5,0,5,0,5,1,0,5,0,0,2,5,0,0,0,4,5,5,5,2,1,5,5,5,1,5,3,5,5,0,0,0,0,0,2,0,4,0,4,5,1,3,5,2,5,0,5,5,1,5,0,0,4,5,5,2,1,0,5,1,3,4,1,3,3,5,1,2,0,0,1,5,5,1,0,0,3,0,4,2,5,1,1,1,3,5,2,1,0,0,5,5,2,4,3,3,5,2,0,1,3,1,5,5,5,2,0,0,4,4,0,0,5,1,4,0,3,5,5,5,0,1,2,0,1,5,2,0,1,5,0,5,5,5,5,5,0,0,3,1,0,0,1,5,2,5,0,0,5,0,1,0,1,5,3,1,5,0,2,0,0,5,2,1,5,4,5,5,0,5,0,5,5,5,5,5,0,5,0,0,0,5,1,0,1,4,1,5,2,0,5,5,5,5,4,0,5,0,0,2,1,4,5,0,0,5,4,0,2,3,0,1
2023-07-16,5,0,5,5,5,5,5,4,0,2,5,5,1,5,2,5,0,3,5,5,5,4,5,5,5,5,5,5,5,5,5,3,0,5,0,5,5,5,1,5,4,0,3,1,2,5,3,5,2,1,5,4,0,3,2,5,3,5,5,5,5,5,5,5,2,1,5,5,5,5,4,2,5,5,5,5,2,5,3,0,2,1,5,1,4,5,3,2,5,5,2,5,2,5,5,0,0,4,4,2,5,0,5,2,5,5,3,5,5,5,5,4,5,5,3,4,5,5,5,5,5,3,4,5,3,5,3,0,3,4,1,0,5,5,1,5,5,5,5,3,5,0,0,2,5,5,4,1,2,5,5,5,5,5,5,2,5,5,4,5,3,0,5,5,0,2,0,3,3,5,1,4,5,1,1,3,1,5,5,0,5,5,0,5,5,2,5,0,5,5,1,5,2,0,3,5,1,4,5,3,5,4,5,5,0,5,5,5,0,5,5,5,5,3,4,2,5,5,5,1,2,5,5,5,2,5,5,5,0,1,5,0,5,5,1,5,5,3,5,1,5,1,0,5,1,5,1,0,0,3,0,5,0,5,5,5,5,2,5,2,4,5,3,5,1,0,5,5,5,5,5,3,1,3,3,2,4,2,2,2,3,5,5,5,2,4,2,5,1,3,3,5,2,5,1,5,2,1,5,0,0,2,5,0,0,0,4,5,5,5,4,4,5,5,4,3,5,5,5,5,0,1,4,1,2,5,0,5,4,5,5,3,3,5,2,5,0,5,5,5,4,2,1,5,5,5,1,4,0,5,2,5,5,4,5,5,5,0,5,0,1,3,5,5,1,0,0,5,0,5,5,5,1,3,1,4,5,4,0,1,5,5,5,2,5,5,5,5,3,0,2,5,5,5,5,4,2,1,5,5,5,3,0,5,4,5,1,5,5,5,5,2,5,5,1,5,5,2,0,1,5,0,5,5,5,4,4,0,0,2,1,3,1,3,5,5,5,2,0,5,4,4,0,2,5,5,5,5,2,5,1,0,5,1,4,5,5,5,5,0,5,1,5,5,5,5,5,0,5,0,0,0,5,5,0,5,4,1,5,3,1,5,5,5,5,5,0,5,0,5,3,4,5,5,2,2,5,5,1,5,5,2,1
2023-07-17,5,0,5,5,5,5,5,3,2,4,5,5,2,5,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,0,5,5,5,4,5,5,1,4,5,2,4,5,5,3,5,5,5,0,4,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,2,5,5,5,5,2,5,4,0,2,4,5,1,5,5,5,1,5,5,2,5,2,5,5,1,0,4,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,0,2,5,1,1,5,5,1,5,5,5,5,5,5,1,0,2,5,5,5,2,2,5,5,5,5,5,5,4,5,4,5,5,5,2,5,5,2,1,2,5,5,5,4,5,5,3,2,5,1,5,5,0,5,5,4,5,5,3,5,2,5,5,2,5,3,0,5,5,2,5,5,4,5,1,5,5,0,5,5,5,1,5,5,5,5,5,3,2,5,5,5,1,5,5,5,5,4,5,5,5,0,1,5,1,5,5,2,5,5,5,5,1,5,2,0,5,2,5,1,0,0,4,0,5,0,5,5,5,5,5,5,3,5,5,5,5,5,0,5,5,5,5,5,5,1,3,5,2,5,2,2,2,5,5,5,5,2,5,3,5,2,5,4,5,2,5,1,5,5,2,5,0,1,1,5,3,0,0,5,5,5,5,5,5,5,5,5,4,5,5,5,5,0,3,5,2,5,5,2,5,5,5,5,3,5,5,5,5,2,5,5,5,5,3,2,5,5,5,3,5,0,5,2,5,5,4,5,5,5,1,5,0,2,2,5,5,1,0,1,5,0,5,5,5,2,5,4,5,5,5,0,3,5,5,5,5,5,5,5,5,2,2,1,5,5,5,5,5,5,2,5,5,5,5,1,5,5,5,1,5,5,5,5,2,4,5,1,5,5,4,1,0,5,0,5,5,5,5,5,2,0,5,5,5,2,5,5,4,5,4,1,5,4,4,0,2,5,5,5,5,4,5,3,1,5,0,5,5,5,5,5,0,5,4,5,5,5,5,5,3,5,0,0,1,5,5,1,5,5,0,5,5,5,5,5,5,5,5,0,5,0,5,5,5,5,5,5,3,5,5,2,5,5,3,1
2023-07-18,5,3,4,5,5,5,5,5,3,2,5,5,3,5,0,5,1,5,5,5,5,5,4,5,1,5,5,5,5,5,5,4,1,5,0,5,4,5,4,5,5,2,3,5,3,5,1,5,2,5,5,5,0,4,4,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,2,5,5,5,5,1,5,4,2,0,5,5,2,5,5,5,3,5,5,2,5,1,5,3,2,0,1,2,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,3,0,0,5,1,2,5,5,0,5,5,5,5,3,5,2,0,0,4,5,5,2,0,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,4,2,3,5,5,5,5,3,3,3,1,3,1,3,5,0,5,4,5,5,5,1,5,2,5,5,1,5,5,0,5,5,2,5,5,5,5,1,5,5,0,5,5,5,4,5,5,5,5,2,4,0,5,5,5,1,5,5,5,5,5,5,5,5,0,0,5,1,5,5,2,5,5,5,5,0,5,2,2,4,5,5,0,4,1,4,2,5,0,5,5,5,5,5,5,4,5,4,5,5,5,0,5,5,5,5,5,5,0,4,5,2,5,3,0,5,5,5,5,5,3,5,3,5,5,5,1,5,0,5,1,5,4,2,5,3,3,1,5,5,1,1,5,5,5,4,5,5,5,5,5,2,5,5,5,5,0,5,2,4,5,5,2,5,4,5,5,3,5,5,3,5,5,5,5,5,5,1,2,5,5,4,4,5,3,5,1,5,5,3,5,5,5,2,5,0,2,1,5,5,4,1,5,5,1,5,5,5,5,5,5,5,5,5,0,3,5,5,5,5,5,5,5,5,1,4,1,5,5,5,5,4,5,2,4,5,5,3,1,5,5,5,4,5,5,5,5,1,2,5,1,3,5,5,3,1,5,0,5,5,5,5,5,4,0,5,4,5,5,5,5,5,5,4,3,5,3,3,0,0,5,5,5,5,2,5,2,1,5,0,5,5,5,5,5,0,5,3,5,4,5,5,5,3,5,0,0,2,5,5,2,4,5,0,5,5,5,5,5,5,5,5,1,5,0,5,4,5,5,5,5,1,5,5,1,5,3,2,3
